RespondantID,Brand,Cores,RAM,HardDrive,DSize,DQuality,TouchScreen,Rating
1,Apple,Quad Core,8 GB,256 GB,12 Inch,Normal,Yes,3
1,Other,Quad Core,8 GB,1024 GB,14 Inch,Normal,Yes,7
1,Apple,Dual Core,4GB,512 GB,14 Inch,HD,Yes,9
1,Ethos,Dual Core,16 GB,256 GB,12 Inch,HD,Yes,9
1,Asus,Quad Core,8 GB,1024 GB,15.2 Inch,Normal,No,5
1,Acer,Quad Core,16 GB,512 GB,14 Inch,Normal,Yes,3
1,Ethos,Quad Core,16 GB,512 GB,15.2 Inch,HD,No,3
1,Other,Dual Core,16 GB,512 GB,15.2 Inch,HD,Yes,4
1,Other,Quad Core,4GB,256 GB,14 Inch,HD,Yes,8
2,Lenovo,Quad Core,16 GB,256 GB,15.2 Inch,Normal,Yes,6
2,Apple,Dual Core,16 GB,256 GB,15.2 Inch,Normal,No,9
2,Apple,Dual Core,4GB,512 GB,14 Inch,HD,Yes,9
2,Other,Quad Core,4GB,256 GB,14 Inch,HD,Yes,3
2,Asus,Quad Core,8 GB,1024 GB,15.2 Inch,Normal,No,5
2,Acer,Quad Core,8 GB,256 GB,14 Inch,HD,No,7
2,Ethos,Quad Core,8 GB,512 GB,12 Inch,HD,No,5
2,Apple,Dual Core,8 GB,512 GB,15.2 Inch,Normal,Yes,3
2,Lenovo,Quad Core,8 GB,512 GB,15.2 Inch,HD,Yes,5
3,Acer,Quad Core,16 GB,512 GB,14 Inch,Normal,Yes,6
3,Lenovo,Dual Core,4GB,1024 GB,12 Inch,HD,Yes,6
3,Other,Dual Core,4GB,1024 GB,15.2 Inch,HD,No,3
3,Ethos,Dual Core,8 GB,1024 GB,14 Inch,Normal,No,6
3,Acer,Quad Core,4GB,256 GB,15.2 Inch,HD,No,3
3,Acer,Quad Core,16 GB,512 GB,14 Inch,Normal,Yes,1
3,Asus,Quad Core,16 GB,1024 GB,12 Inch,HD,Yes,2
3,Acer,Quad Core,8 GB,256 GB,14 Inch,HD,No,8
3,Acer,Quad Core,4GB,256 GB,15.2 Inch,HD,No,5
4,Asus,Dual Core,8 GB,256 GB,14 Inch,HD,Yes,4
4,Lenovo,Dual Core,4GB,1024 GB,12 Inch,HD,Yes,4
4,Other,Quad Core,8 GB,1024 GB,14 Inch,Normal,Yes,3
4,Lenovo,Quad Core,16 GB,256 GB,15.2 Inch,Normal,Yes,1
4,Acer,Dual Core,4GB,512 GB,12 Inch,Normal,No,1
